URL,GBE,DBE,CBE,OBE,MBE,,,Total of GBE,Total of DBE,Total of CBE,Total of OBE,Total of MBE
https://www.kcl.ac.uk/people/elisa-cavatorta,0,0,0,0,0,,,,,,,
https://www.kcl.ac.uk/people/rosie-campbell,0,0,0,0,0,,,,,,,
https://www.kcl.ac.uk/people/michael-chadwick,0,0,0,0,0,,,,,,,
https://www.kcl.ac.uk/people/chin-dr-warren,0,0,0,0,0,,,,,,,
https://www.kcl.ac.uk/people/nagore-calvo-mendizabal,0,0,0,0,0,,,,,,,
https://www.kcl.ac.uk/people/laura-camfield,0,0,0,0,0,,,,,,,
https://www.kcl.ac.uk/people/jane-catford,0,0,0,0,0,,,,,,,
https://www.kcl.ac.uk/people/olivia-cheung,0,0,0,0,0,,,,,,,
https://www.kcl.ac.uk/people/terry-cannon,0,0,0,0,0,,,,,,,
https://www.kcl.ac.uk/people/silvia-camporesi,0,0,0,0,0,,,,,,,
https://www.kcl.ac.uk/people/alex-callinicos,0,0,0,0,0,,,,,,,
https://www.kcl.ac.uk/people/christine-cheng,0,0,0,0,0,,,,,,,
https://www.kcl.ac.uk/people/federica-carugati,0,0,0,0,0,,,,,,,
https://www.kcl.ac.uk/people/kristofer-chan,0,0,0,0,0,,,,,,,
https://www.kcl.ac.uk/people/david-chilosi,0,0,0,0,0,,,,,,,
https://www.kcl.ac.uk/people/alex-clarkson,0,0,0,0,0,,,,,,,
https://www.kcl.ac.uk/people/mark-condos,0,0,0,0,0,,,,,,,
https://www.kcl.ac.uk/people/raphael-cunha,0,0,0,0,0,,,,,,,
https://www.kcl.ac.uk/people/andrea-cornwall,0,0,0,0,0,,,,,,,
https://www.kcl.ac.uk/people/ruth-craggs,0,0,0,0,0,,,,,,,
https://www.kcl.ac.uk/people/maria-cotofan,0,0,0,0,0,,,,,,,
https://www.kcl.ac.uk/people/humaira-chowdhury,0,0,0,0,0,,,,,,,
https://www.kcl.ac.uk/people/emma-colven,0,0,0,0,0,,,,,,,
https://www.kcl.ac.uk/people/clare-coultas,0,0,0,0,0,,,,,,,
https://www.kcl.ac.uk/people/dr-simon-coffey,0,0,0,0,0,,,,,,,
https://www.kcl.ac.uk/people/professor-alan-cribb,0,0,0,0,0,,,,,,,
https://www.kcl.ac.uk/people/dr-melanie-cooke,0,0,0,0,0,,,,,,,
https://www.kcl.ac.uk/people/amanda-chisholm,0,0,0,0,0,,,,,,,
https://www.kcl.ac.uk/people/michelle-clement,0,0,0,0,0,,,,,,,
https://www.kcl.ac.uk/people/robert-cowley,0,0,0,0,0,,,,,,,
https://www.kcl.ac.uk/people/rachel-davies,0,0,0,0,0,,,,,,,
https://www.kcl.ac.uk/people/antonia-dawes,0,0,0,0,0,,,,,,,
https://www.kcl.ac.uk/people/samuel-decanio,0,0,0,0,0,,,,,,,
https://www.kcl.ac.uk/people/davies-dr-huw,0,0,0,0,0,,,,,,,
https://www.kcl.ac.uk/people/rod-dacombe,0,0,0,0,0,,,,,,,
https://www.kcl.ac.uk/people/dr-pablo-de-orellana,0,0,0,0,0,,,,,,,
https://www.kcl.ac.uk/people/dr-ruth-deyermond-1,0,0,0,0,0,,,,,,,
https://www.kcl.ac.uk/people/david-demeritt,0,0,0,0,0,,,,,,,
https://www.kcl.ac.uk/people/terry-dawson,0,0,0,0,0,,,,,,,
https://www.kcl.ac.uk/people/courtney-davis,0,0,0,0,0,,,,,,,
https://www.kcl.ac.uk/people/amrita-dhillon,0,0,0,0,0,,,,,,,
https://www.kcl.ac.uk/people/jon-davis,0,0,0,0,0,,,,,,,
https://www.kcl.ac.uk/people/vinicius-de-carvalho,0,0,0,0,0,,,,,,,
https://www.kcl.ac.uk/people/dr-martin-dewey,0,0,0,0,0,,,,,,,
https://www.kcl.ac.uk/people/tania-de-st-croix,0,0,0,0,0,,,,,,,
https://www.kcl.ac.uk/people/dr-david-easter,0,0,0,0,0,,,,,,,
https://www.kcl.ac.uk/people/dr-ferdinand-eibl,0,0,0,0,0,,,,,,,
https://www.kcl.ac.uk/people/dr-huw-dylan,0,0,0,0,0,,,,,,,
https://www.kcl.ac.uk/people/luke-dickens,0,0,0,0,0,,,,,,,
https://www.kcl.ac.uk/people/robin-douglass,0,0,0,0,0,,,,,,,
https://www.kcl.ac.uk/people/barnaby-dye,0,0,0,0,0,,,,,,,
https://www.kcl.ac.uk/people/martin-edwardes,0,0,0,0,0,,,,,,,
https://www.kcl.ac.uk/people/will-edmonds,0,0,0,0,0,,,,,,,
https://www.kcl.ac.uk/people/dr-jenny-driscoll,0,0,0,0,0,,,,,,,
https://www.kcl.ac.uk/people/amy-dodd,0,0,0,0,0,,,,,,,
https://www.kcl.ac.uk/people/devika-dutt,0,0,0,0,0,,,,,,,
https://www.kcl.ac.uk/people/dorman-professor-andrew,0,0,0,0,0,,,,,,,
https://www.kcl.ac.uk/people/nick-drake,0,0,0,0,0,,,,,,,
https://www.kcl.ac.uk/people/tamsin-edwards,0,0,0,0,0,,,,,,,
