title,code,url,types,featured,applications_open,applications_close,intake,duration,fees,area_of_interest
"Machine Learning, Deep Learning and Applications in Finance",(FIN525),https://www.suss.edu.sg/courses/detail/fin525,"IHL Micro-Credentials, Modular Graduate Course, SkillsFuture Series",FALSE,01-Oct-24,15-Nov-24,Jan-25,6 months,$2640,Finance
Managing an Ageing Workforce,(GER529),https://www.suss.edu.sg/courses/detail/ger529,"IHL Micro-Credentials, Modular Graduate Course",FALSE,01-Oct-24,15-Nov-24,Jan-25,6 months,$2640,Gerontology
Managing and Measuring Human Capital Projects,(HCM549),https://www.suss.edu.sg/courses/detail/hcm549,"IHL Micro-Credentials, Modular Graduate Course",FALSE,01-Oct-24,15-Nov-24,Jan-25,6 months,$2640,Management
Managing Buildings for Health and Wellness,(FMT503),https://www.suss.edu.sg/courses/detail/fmt503,"IHL Micro-Credentials, Modular Graduate Course",FALSE,01-Oct-24,15-Nov-24,Jan-25,6 months,$2640,Built Environment
Managing Digital Transformation in Operations,(MGT564),https://www.suss.edu.sg/courses/detail/mgt564,"IHL Micro-Credentials, Modular Graduate Course",FALSE,01-Oct-24,15-Nov-24,Jan-25,6 months,$1320,Management
Managing International Logistics,(SCM505),https://www.suss.edu.sg/courses/detail/scm505,"IHL Micro-Credentials, Modular Graduate Course",FALSE,01-Oct-24,15-Nov-24,Jan-25,6 months,$2640,Business Administration
Marketing Research,(MKT390),https://www.suss.edu.sg/courses/detail/mkt390,"IHL Micro-Credentials, Modular Undergraduate Course",FALSE,01-Oct-24,15-Nov-24,Jan-25,6 months,$1392,Business Administration
Mathematical Foundations for Data Science,(DSM101),https://www.suss.edu.sg/courses/detail/dsm101,"IHL Micro-Credentials, Modular Undergraduate Course",FALSE,01-Oct-24,15-Nov-24,Jan-25,6 months,$1392,Science and Technology
Maximise Human Capital for Social Impact,(NPM522),https://www.suss.edu.sg/courses/detail/npm522,"IHL Micro-Credentials, Modular Graduate Course, SkillsFuture Series",FALSE,01-Oct-24,15-Nov-24,Jan-25,6 months,$2640,Management
Media Management,(COM303),https://www.suss.edu.sg/courses/detail/com303,"IHL Micro-Credentials, Modular Undergraduate Course",FALSE,01-Oct-24,15-Nov-24,Jan-25,6 months,$1392,Humanities and Social Sciences
