title,code,url,types,featured,applications_open,applications_close,intake,duration,fees,area_of_interest
Graduate Diploma in Curriculum and Teaching,,https://www.suss.edu.sg/programmes/detail/graduate-diploma-in-curriculum-and-teaching,Graduate Studies,TRUE,16-Apr-25,15-Oct-25,Jan-26,,,Adult Learning
Graduate Diploma in Education,,https://www.suss.edu.sg/programmes/detail/graduate-diploma-in-education,Graduate Studies,TRUE,16-Apr-25,15-Oct-25,Jan-26,,,Adult Learning
Master of Education,,https://www.suss.edu.sg/programmes/detail/master-of-education,Graduate Studies,TRUE,16-Apr-25,15-Oct-25,Jan-26,,,Adult Learning
Graduate Diploma in Learning Design and Technology,,https://www.suss.edu.sg/programmes/detail/graduate-diploma-in-learning-design-and-technology,Graduate Studies,TRUE,16-Apr-26,15-Oct-26,Jan-27,,,Adult Learning
Doctor of Philosophy (Gerontology),,https://www.suss.edu.sg/programmes/detail/phd-in-gerontology-phger,Graduate Studies,FALSE,16-Apr-24,15-Apr-25,Jul-25,,,Gerontology
Graduate Certificate in Gerontology,,https://www.suss.edu.sg/programmes/detail/graduate-certificate-in-gerontology,Graduate Certificate,FALSE,16-Apr-24,15-Apr-25,Jul-25,,,"Business Administration, International Trade, Science and Technology"
Graduate Certificate in Human Capital Management,,https://www.suss.edu.sg/programmes/detail/graduate-certificate-in-human-capital-management,Graduate Certificate,FALSE,16-Apr-24,15-Apr-25,Jul-25,,,Management
Graduate Certificate in Taxation,,https://www.suss.edu.sg/programmes/detail/graduate-certificate-in-taxation,Graduate Certificate,FALSE,16-Apr-24,15-Apr-25,Jul-25,,,Business Administration
Graduate Diploma in Expressive Arts Therapy,,https://www.suss.edu.sg/programmes/detail/graduate-diploma-in-expressive-arts-therapy-gdxat,Graduate Studies,FALSE,16-Apr-24,15-Apr-25,Jul-25,,,Social Services
Graduate Diploma in Gerontology,,https://www.suss.edu.sg/programmes/detail/graduate-diploma-in-gerontology-gdger,Graduate Studies,FALSE,16-Apr-24,15-Apr-25,Jul-25,,,"Business Administration, International Trade, Science and Technology"
Graduate Diploma in Human Capital Management,,https://www.suss.edu.sg/programmes/detail/graduate-diploma-in-human-capital-management-gdhcm,Graduate Studies,FALSE,16-Apr-24,15-Apr-25,Jul-25,,,Management
Graduate Diploma in Professional Life-coaching,,https://www.suss.edu.sg/programmes/detail/graduate-diploma-in-professional-life-coaching-gdplc,Graduate Studies,FALSE,16-Apr-24,15-Apr-25,Jul-25,,,Adult Learning
Graduate Diploma in Learning Design and Technology,,https://www.suss.edu.sg/programmes/detail/graduate-diploma-in-learning-design-and-technology,Graduate Studies,TRUE,16-Apr-26,15-Oct-26,Jan-27,,,Adult Learning
Doctor of Philosophy (Gerontology),,https://www.suss.edu.sg/programmes/detail/phd-in-gerontology-phger,Graduate Studies,FALSE,16-Apr-24,15-Apr-25,Jul-25,,,Gerontology
Graduate Certificate in Gerontology,,https://www.suss.edu.sg/programmes/detail/graduate-certificate-in-gerontology,Graduate Certificate,FALSE,16-Apr-24,15-Apr-25,Jul-25,,,"Business Administration, International Trade, Science and Technology"
Graduate Certificate in Human Capital Management,,https://www.suss.edu.sg/programmes/detail/graduate-certificate-in-human-capital-management,Graduate Certificate,FALSE,16-Apr-24,15-Apr-25,Jul-25,,,Management
Graduate Certificate in Taxation,,https://www.suss.edu.sg/programmes/detail/graduate-certificate-in-taxation,Graduate Certificate,FALSE,16-Apr-24,15-Apr-25,Jul-25,,,Business Administration
Graduate Diploma in Expressive Arts Therapy,,https://www.suss.edu.sg/programmes/detail/graduate-diploma-in-expressive-arts-therapy-gdxat,Graduate Studies,FALSE,16-Apr-24,15-Apr-25,Jul-25,,,Social Services
Graduate Diploma in Gerontology,,https://www.suss.edu.sg/programmes/detail/graduate-diploma-in-gerontology-gdger,Graduate Studies,FALSE,16-Apr-24,15-Apr-25,Jul-25,,,"Business Administration, International Trade, Science and Technology"
Graduate Diploma in Human Capital Management,,https://www.suss.edu.sg/programmes/detail/graduate-diploma-in-human-capital-management-gdhcm,Graduate Studies,FALSE,16-Apr-24,15-Apr-25,Jul-25,,,Management
Graduate Diploma in Professional Life-coaching,,https://www.suss.edu.sg/programmes/detail/graduate-diploma-in-professional-life-coaching-gdplc,Graduate Studies,FALSE,16-Apr-24,15-Apr-25,Jul-25,,,Adult Learning
Graduate Diploma in Taxation,,https://www.suss.edu.sg/programmes/detail/graduate-diploma-in-taxation-gdtax,Graduate Studies,FALSE,16-Apr-24,15-Apr-25,Jul-25,,,Business Administration
Master of Gerontology,,https://www.suss.edu.sg/programmes/detail/master-of-gerontology-mger-maj,Graduate Studies,FALSE,16-Apr-24,15-Apr-25,Jul-25,,,"Business Administration, International Trade, Science and Technology"
Master of Human Capital Management,,https://www.suss.edu.sg/programmes/detail/master-of-human-capital-management,Graduate Studies,FALSE,16-Apr-24,15-Apr-25,Jul-25,,,Management
Master of Taxation,,https://www.suss.edu.sg/programmes/detail/master-of-taxation-mtax,Graduate Studies,FALSE,16-Apr-24,15-Apr-25,Jul-25,,,Business Administration
BA Chinese Studies <chinese>中文学士学位</chinese>,,https://www.suss.edu.sg/programmes/detail/ba-chinese-studies,Part-time Undergraduate,FALSE,01-Oct-24,30-Sep-25,Jan-26,,,Linguistics and Languages
BA Malay Language and Literature,,https://www.suss.edu.sg/programmes/detail/ba-malay-language-and-literature,Part-time Undergraduate,FALSE,01-Oct-24,30-Sep-25,Jan-26,,,Linguistics and Languages
Bachelor of Early Childhood and Chinese Language Education <chinese>学前华文教育学士学位</chinese>,,https://www.suss.edu.sg/programmes/detail/bachelor-of-early-childhood-and-chinese-language-education,Part-time Undergraduate,FALSE,01-Oct-24,30-Sep-25,Jan-26,,,Adult Learning
Doctor of Philosophy (Engineering),,https://www.suss.edu.sg/programmes/detail/doctor-of-philosophy-pdeng,Graduate Studies,FALSE,16-Oct-24,15-Apr-25,Jul-25,,,Science and Technology
Graduate Certificate in Applied Linguistics (TESOL),,https://www.suss.edu.sg/programmes/detail/graduate-certificate-in-applied-linguistics-(tesol),Graduate Certificate,FALSE,16-Oct-24,15-Apr-25,Jul-25,,,Linguistics and Languages
Graduate Certificate in Designing Learning and Innovation,,https://www.suss.edu.sg/programmes/detail/graduate-certificate-in-designing-learning-and-innovation,Graduate Certificate,FALSE,16-Oct-24,15-Apr-25,Jul-25,,,Others
Graduate Certificate in Designing Learning for Programmes,,https://www.suss.edu.sg/programmes/detail/graduate-certificate-in-designing-learning-for-programmes,Graduate Certificate,FALSE,16-Oct-24,15-Apr-25,Jul-25,,,Others
Graduate Certificate in Facilities Management,,https://www.suss.edu.sg/programmes/detail/graduate-certificate-in-facilities-management-gcfmt,Graduate Certificate,FALSE,16-Oct-24,15-Apr-25,Jul-25,,,Built Environment
Graduate Certificate in Healthcare Facilities Management,,https://www.suss.edu.sg/programmes/detail/graduate-certificate-in-healthcare-facilities-management,Graduate Certificate,FALSE,16-Oct-24,15-Apr-25,Jul-25,,,Built Environment
"Graduate Certificate in Implementing and Evaluating Innovation, Change and Learning",,https://www.suss.edu.sg/programmes/detail/graduate-certificate-in-implementing-and-evaluating-innovation-change-and-learning,Graduate Certificate,FALSE,16-Oct-24,15-Apr-25,Jul-25,,,Others
Graduate Certificate in Innovative Approaches to Adult Learning,,https://www.suss.edu.sg/programmes/detail/graduate-certificate-in-innovative-approaches-to-adult-learning,Graduate Certificate,FALSE,16-Oct-24,15-Apr-25,Jul-25,,,Others
"Graduate Certificate in Leading Learning, Innovation and Change Across Boundaries",,https://www.suss.edu.sg/programmes/detail/graduate-certificate-in-leading-learning-innovation-and-change-across-boundaries,Graduate Certificate,FALSE,16-Oct-24,15-Apr-25,Jul-25,,,Others
Graduate Certificate in Organisational Innovation and Change,,https://www.suss.edu.sg/programmes/detail/graduate-certificate-in-organisational-innovation-and-change,Graduate Certificate,FALSE,16-Oct-24,15-Apr-25,Jul-25,,,Others
Graduate Certificate in Project Management,,https://www.suss.edu.sg/programmes/detail/graduate-certificate-in-project-management-gcpm,Graduate Certificate,FALSE,16-Oct-24,15-Apr-25,Jul-25,,,Built Environment
Graduate Diploma in Adult Learning,,https://www.suss.edu.sg/programmes/detail/graduate-diploma-in-adult-learning,Graduate Studies,FALSE,16-Oct-24,15-Apr-25,Jul-25,,,Adult Learning
Graduate Diploma in Facilities Management,,https://www.suss.edu.sg/programmes/detail/graduate-diploma-in-facilities-management,Graduate Studies,FALSE,16-Oct-24,15-Apr-25,Jul-25,,,Built Environment
Graduate Diploma in Project Management,,https://www.suss.edu.sg/programmes/detail/graduate-diploma-in-project-management,Graduate Studies,FALSE,16-Oct-24,15-Apr-25,Jul-25,,,Built Environment
Master in Boundary-Crossing Learning and Leadership,,https://www.suss.edu.sg/programmes/detail/master-in-boundary-crossing-learning-and-leadership,Graduate Studies,FALSE,16-Oct-24,15-Apr-25,Jul-25,,,Adult Learning
Master of Built Environment,,https://www.suss.edu.sg/programmes/detail/master-of-built-environment,Graduate Studies,FALSE,16-Oct-24,15-Apr-25,Jul-25,,,Built Environment
Master of Early Childhood Education,,https://www.suss.edu.sg/programmes/detail/master-of-early-childhood-education-mece-spe,Graduate Studies,FALSE,16-Oct-24,15-Oct-25,Jan-26,,,Adult Learning
Master of Engineering,,https://www.suss.edu.sg/programmes/detail/master-of-engineering-meng,Graduate Studies,FALSE,16-Oct-24,15-Apr-25,Jul-25,,,Science and Technology
Master of Social Sciences,,https://www.suss.edu.sg/programmes/detail/master-of-social-sciences,Graduate Studies,FALSE,16-Oct-24,15-Apr-25,Jul-25,,,Others
Master of Social Work,,https://www.suss.edu.sg/programmes/detail/master-of-social-work-mswk,Graduate Studies,FALSE,16-Oct-24,15-Apr-25,Jul-25,,,Social Services
Master of Sustainability Management,,https://www.suss.edu.sg/programmes/detail/master-of-sustainability-management,Graduate Studies,FALSE,16-Oct-24,15-Apr-25,Jul-25,,,Business Administration
Doctor of Business Administration,,https://www.suss.edu.sg/programmes/detail/doctor-of-business-administration-dba,Graduate Studies,FALSE,01-Nov-24,15-Apr-25,Jul-25,,,Business Administration
Graduate Certificate in Analytics and Visualisation,,https://www.suss.edu.sg/programmes/detail/graduate-certificate-in-analytics-and-visualisation-gcav,Graduate Certificate,FALSE,01-Nov-24,15-Apr-25,Jul-25,,,Business Administration
Graduate Certificate in Artificial Intelligence for Business,,https://www.suss.edu.sg/programmes/detail/graduate-certificate-in-artificial-intelligence-for-business-gcaib,Graduate Certificate,FALSE,01-Nov-24,15-Apr-25,Jul-25,,,Business Administration
Graduate Certificate in Digital Marketing,,https://www.suss.edu.sg/programmes/detail/graduate-certificate-in-digital-marketing-gcdm,Graduate Certificate,FALSE,01-Nov-24,15-Apr-25,Jul-25,,,Business Administration
Graduate Certificate in Early Childhood Curriculum,,https://www.suss.edu.sg/programmes/detail/graduate-certificate-in-early-childhood-curriculum,Graduate Certificate,FALSE,01-Nov-24,15-Apr-25,Jul-26,,,Adult Learning
Graduate Certificate in Financial Technology,,https://www.suss.edu.sg/programmes/detail/graduate-certificate-in-financial-technology-gcft,Graduate Certificate,FALSE,01-Nov-24,15-Apr-25,Jul-25,,,Finance
Graduate Certificate in IP and Innovation Management,,https://www.suss.edu.sg/programmes/detail/graduate-certificate-in-ip-and-innovation-management-gcipim,Graduate Certificate,FALSE,01-Nov-24,15-Apr-25,Jul-25,,,Business Administration
Graduate Certificate in Logistics and Supply Chain Management,,https://www.suss.edu.sg/programmes/detail/graduate-certificate-in-logistics-and-supply-chain-management-gclscm,Graduate Certificate,FALSE,01-Nov-24,30-Apr-25,Jul-25,,,Business Administration
Graduate Certificate in Management,,https://www.suss.edu.sg/programmes/detail/graduate-certificate-in-management-gcmgt,Graduate Certificate,FALSE,01-Nov-24,15-Apr-25,Jul-25,,,Management
Graduate Certificate in Sustainability Management,,https://www.suss.edu.sg/programmes/detail/graduate-certificate-in-sustainability-management-gcesg,Graduate Certificate,FALSE,01-Nov-24,15-Apr-25,Jul-25,,,Business Administration
Graduate Diploma in Analytics and Visualisation,,https://www.suss.edu.sg/programmes/detail/graduate-diploma-in-analytics-and-visualisation,Graduate Studies,FALSE,01-Nov-24,15-Apr-25,Jul-25,,,Business Administration
Graduate Diploma in Applied Linguistics (TESOL),,https://www.suss.edu.sg/programmes/detail/graduate-diploma-in-applied-linguistics-tesol-gdtsl,Graduate Studies,FALSE,01-Nov-24,15-Apr-25,Jul-25,,,Linguistics and Languages
Graduate Diploma in Artificial Intelligence for Business,,https://www.suss.edu.sg/programmes/detail/graduate-diploma-in-artificial-intelligence-for-business,Graduate Studies,FALSE,01-Nov-24,15-Apr-25,Jul-25,,,Business Administration
Graduate Diploma in Digital Marketing,,https://www.suss.edu.sg/programmes/detail/graduate-diploma-in-digital-marketing-gddm,Graduate Studies,FALSE,01-Nov-24,15-Apr-25,Jul-25,,,Business Administration
Graduate Diploma in Financial Technology,,https://www.suss.edu.sg/programmes/detail/graduate-diploma-in-financial-technology-gdft,Graduate Studies,FALSE,01-Nov-24,15-Apr-25,Jul-25,,,Finance
Graduate Diploma in IP and Innovation Management (IP Management),,https://www.suss.edu.sg/programmes/detail/graduate-diploma-in-ip-and-innovation-management-with-specialisation-in-ip-management-gdipimm,Graduate Studies,FALSE,01-Nov-24,15-Apr-25,Jul-25,,,Business Administration
Graduate Diploma in Logistics and Supply Chain Management,,https://www.suss.edu.sg/programmes/detail/graduate-diploma-in-logistics-and-supply-chain-management,Graduate Studies,FALSE,01-Nov-24,30-Apr-25,Jul-25,,,Business Administration
Graduate Diploma in Management,,https://www.suss.edu.sg/programmes/detail/graduate-diploma-in-management-gdmgt,Graduate Studies,FALSE,01-Nov-24,15-Apr-25,Jul-25,,,Management
Graduate Diploma in Sustainability Management,,https://www.suss.edu.sg/programmes/detail/graduate-diploma-in-sustainability-management,Graduate Studies,FALSE,01-Nov-24,15-Apr-25,Jul-25,,,Business Administration
Master of Analytics and Visualisation,,https://www.suss.edu.sg/programmes/detail/mavi,Graduate Studies,FALSE,01-Nov-24,15-Apr-25,Jul-25,,,Business Administration
Master of Applied Research in Social Sciences,,https://www.suss.edu.sg/programmes/detail/master-of-applied-research-in-social-sciences-mress,Graduate Studies,FALSE,01-Nov-24,15-Apr-25,Jul-25,,,Humanities and Social Sciences
Master of Arts in Applied Linguistics (TESOL),,https://www.suss.edu.sg/programmes/detail/master-of-arts-in-applied-linguistics-tesol-matsl,Graduate Studies,FALSE,01-Nov-24,15-Apr-25,Jul-25,,,Linguistics and Languages
Master of Digital Marketing,,https://www.suss.edu.sg/programmes/detail/master-of-digital-marketing,Graduate Studies,FALSE,01-Nov-24,15-Apr-25,Jul-25,,,Business Administration
Master of Education in Early Childhood Education (Chinese) <chinese>学前教育硕士课程</chinese> (<chinese>华文</chinese>）,,https://www.suss.edu.sg/programmes/detail/master-of-education-in-early-childhood-education-(chinese)-<chinese>学前教育硕士课程</chinese>-(<chinese>华文</chinese>,Graduate Studies,FALSE,01-Nov-24,15-Apr-25,Jul-25,,,Adult Learning
Master of Finance,,https://www.suss.edu.sg/programmes/detail/master-of-finance-mfin,Graduate Studies,FALSE,01-Nov-24,15-Apr-25,Jul-25,,,Finance
Master of Financial Technology <chinese>中文金融科技学硕士</chinese>,,https://www.suss.edu.sg/programmes/detail/master-of-financial-technology,Graduate Studies,FALSE,01-Nov-24,30-Apr-25,Jul-25,,,Finance
Master of IP and Innovation Management,,https://www.suss.edu.sg/programmes/detail/master-of-ip-and-innovation-management-mipim-maj,Graduate Studies,FALSE,01-Nov-24,15-Apr-25,Jul-25,,,Business Administration
Master of Management,,https://www.suss.edu.sg/programmes/detail/master-of-management-mmgt,Graduate Studies,FALSE,01-Nov-24,15-Apr-25,Jul-25,,,Management
Master of Science in Management <chinese>中文管理学硕士</chinese>,,https://www.suss.edu.sg/programmes/detail/master-of-science-in-management,Graduate Studies,FALSE,01-Nov-24,15-Apr-25,Jul-25,,,Business Administration
SUSS Master of Digital Marketing + FHNW Master of Science in International Management,,https://www.suss.edu.sg/programmes/detail/suss-master-of-digital-marketing-fhnw-master-of-science-in-international-management,Graduate Studies,FALSE,01-Nov-24,15-Apr-25,Jul-25,,,Business Administration
SUSS Master of Finance + FHNW Master of Science in International Management,,https://www.suss.edu.sg/programmes/detail/suss-master-of-finance-fhnw-master-of-science-in-international-management,Graduate Studies,FALSE,01-Nov-24,15-Apr-25,Jul-25,,,Finance
SUSS Master of Management + FHNW Master of Science in International Management,,https://www.suss.edu.sg/programmes/detail/suss-master-of-management-fhnw-master-of-science-in-international-management,Graduate Studies,FALSE,01-Nov-24,15-Apr-25,Jul-25,,,Management
Graduate Diploma in IP and Innovation Management (Patent Agency),,https://www.suss.edu.sg/programmes/detail/graduate-diploma-in-ip-and-innovation-management-with-specialisation-in-patent-agency-gdipimp,Graduate Studies,FALSE,01-Nov-24,15-Apr-25,Jul-25,,,Business Administration
Graduate Diploma in Systemic Therapy,,https://www.suss.edu.sg/programmes/detail/graduate-diploma-in-systemic-therapy-gdst,Graduate Studies,FALSE,15-Jan-25,15-Apr-25,Jul-25,,,Social Services
Master of Counselling,,https://www.suss.edu.sg/programmes/detail/master-of-counselling-mcou,Graduate Studies,FALSE,15-Jan-25,15-Apr-25,Jul-26,,,Social Services
Master of Science in Strategic IP and Innovation Management <chinese>中文知识产权策略与创新管理硕士</chinese>,,https://www.suss.edu.sg/programmes/detail/msmip,Graduate Studies,FALSE,24-Feb-25,30-Apr-25,Jul-25,,,Business Administration
Master of Psychology (Clinical),,https://www.suss.edu.sg/programmes/detail/master-of-psychology-clinical,Graduate Studies,FALSE,01-Mar-25,30-Jun-25,Jan-26,,,Humanities and Social Sciences
Master of Science in Management (Education),,https://www.suss.edu.sg/programmes/detail/master-of-science-in-management-(education),Graduate Studies,FALSE,07-Mar-25,15-Apr-25,Jul-25,,,Business Administration
BA English Language and Literature,,https://www.suss.edu.sg/programmes/detail/ba-english-language-and-literature,Part-time Undergraduate,FALSE,01-Apr-25,30-Sep-25,Jan-26,,,Linguistics and Languages
BA Sociology,,https://www.suss.edu.sg/programmes/detail/ba-sociology,Part-time Undergraduate,FALSE,01-Apr-25,30-Sep-25,Jan-26,,,Humanities and Social Sciences
BA Tamil Language and Literature,,https://www.suss.edu.sg/programmes/detail/ba-tamil-language-and-literature,Part-time Undergraduate,FALSE,01-Apr-25,31-Mar-26,Jul-26,,,Linguistics and Languages
BA Translation and Interpretation,,https://www.suss.edu.sg/programmes/detail/ba-translation-and-interpretation,Part-time Undergraduate,FALSE,01-Apr-25,31-Mar-26,Jul-26,,,Linguistics and Languages
Bachelor of Accountancy,,https://www.suss.edu.sg/programmes/detail/pt-bachelor-of-accountancy,Part-time Undergraduate,FALSE,01-Apr-25,30-Sep-25,Jan-26,,,Business Administration
Bachelor of Communication,,https://www.suss.edu.sg/programmes/detail/bachelor-of-communication,Part-time Undergraduate,FALSE,01-Apr-25,30-Sep-25,Jan-26,,,Humanities and Social Sciences
Bachelor of Counselling,,https://www.suss.edu.sg/programmes/detail/bachelor-of-counselling,Part-time Undergraduate,FALSE,01-Apr-25,30-Sep-25,Jan-26,,,Social Services
Bachelor of Early Childhood Education (Part-Time),,https://www.suss.edu.sg/programmes/detail/pt-bachelor-of-early-childhood-education,Part-time Undergraduate,FALSE,01-Apr-25,30-Sep-25,Jan-26,,,Adult Learning
Bachelor of General Studies,,https://www.suss.edu.sg/programmes/detail/bachelor-of-general-studies,Part-time Undergraduate,FALSE,01-Apr-25,30-Sep-25,Jan-26,,,General Studies
Bachelor of Human Resource Management,,https://www.suss.edu.sg/programmes/detail/pt-bachelor-of-human-resource-management,Part-time Undergraduate,FALSE,01-Apr-25,30-Sep-25,Jan-26,,,Management
Bachelor of Public Safety and Security,,https://www.suss.edu.sg/programmes/detail/pt-bachelor-of-public-safety-and-security,Part-time Undergraduate,FALSE,01-Apr-25,31-Mar-26,Jul-26,,,Humanities and Social Sciences
Bachelor of Social Work (Part-Time),,https://www.suss.edu.sg/programmes/detail/pt-bachelor-of-social-work,Part-time Undergraduate,FALSE,01-Apr-25,30-Sep-25,Jan-26,,,Social Services
Bachelor of Sports and Physical Education,,https://www.suss.edu.sg/programmes/detail/bachelor-of-sports-and-physical-education,Part-time Undergraduate,FALSE,01-Apr-25,31-Mar-26,Jul-26,,,Adult Learning
BSc Biomedical Engineering,,https://www.suss.edu.sg/programmes/detail/bsc-biomedical-engineering,Part-time Undergraduate,FALSE,01-Apr-25,30-Sep-25,Jan-26,,,Science and Technology
BSc Business,,https://www.suss.edu.sg/programmes/detail/bsc-business,Part-time Undergraduate,FALSE,01-Apr-25,30-Sep-25,Jan-26,,,Business Administration
BSc Business Analytics,,https://www.suss.edu.sg/programmes/detail/pt-bsc-business-analytics,Part-time Undergraduate,FALSE,01-Apr-25,30-Sep-25,Jan-26,,,Business Administration
BSc Digital Media,,https://www.suss.edu.sg/programmes/detail/bsc-digital-media,Part-time Undergraduate,FALSE,01-Apr-25,30-Sep-25,Jan-26,,,Digital Media
BSc Events Management,,https://www.suss.edu.sg/programmes/detail/bsc-events-management,Part-time Undergraduate,FALSE,01-Apr-25,30-Sep-25,Jan-26,,,Built Environment
BSc Facilities Management,,https://www.suss.edu.sg/programmes/detail/bsc-facilities-management,Part-time Undergraduate,FALSE,01-Apr-25,30-Sep-25,Jan-26,,,Built Environment
BSc Finance,,https://www.suss.edu.sg/programmes/detail/pt-bsc-finance,Part-time Undergraduate,FALSE,01-Apr-25,30-Sep-25,Jan-26,,,Finance
BSc Information and Communication Technology,,https://www.suss.edu.sg/programmes/detail/pt-bsc-information-and-communication-technology,Part-time Undergraduate,FALSE,01-Apr-25,30-Sep-25,Jan-26,,,Information Technology
BSc Information Technology and Business (ERP),,https://www.suss.edu.sg/programmes/detail/bsc-information-technology-and-business-erp,Part-time Undergraduate,FALSE,01-Apr-25,30-Sep-25,Jan-26,,,Information Technology
BSc Logistics and Supply Chain Management,,https://www.suss.edu.sg/programmes/detail/pt-bsc-logistics-and-supply-chain-management,Part-time Undergraduate,FALSE,01-Apr-25,30-Sep-25,Jan-26,,,Business Administration
BSc Marketing,,https://www.suss.edu.sg/programmes/detail/pt-bsc-marketing,Part-time Undergraduate,FALSE,01-Apr-25,30-Sep-25,Jan-26,,,Business Administration
BSc Mathematics,,https://www.suss.edu.sg/programmes/detail/bsc-mathematics,Part-time Undergraduate,FALSE,01-Apr-25,30-Sep-25,Jan-26,,,Science and Technology
BSc Psychology (Part-Time),,https://www.suss.edu.sg/programmes/detail/bsc-psychology,Part-time Undergraduate,FALSE,01-Apr-25,30-Sep-25,Jan-26,,,Humanities and Social Sciences
BSc Workplace Safety and Health,,https://www.suss.edu.sg/programmes/detail/bsc-workplace-safety-and-health,Part-time Undergraduate,FALSE,01-Apr-25,30-Sep-25,Jan-26,,,Science and Technology
Doctor of Philosophy,,https://www.suss.edu.sg/programmes/detail/doctor-of-philosophy-phdg,Graduate Studies,FALSE,01-Apr-25,30-Sep-25,Jan-26,,,Others
Graduate Diploma in Organisational Psychology,,https://www.suss.edu.sg/programmes/detail/graduate-diploma-in-organisational-psychology,Graduate Studies,FALSE,01-Apr-25,31-Jul-25,Jan-26,,,Humanities and Social Sciences
Master of Psychology,,https://www.suss.edu.sg/programmes/detail/master-of-psychology,Graduate Studies,FALSE,01-Apr-25,31-Jul-25,Jan-26,,,Humanities and Social Sciences
Bachelor of Building and Project Management,,https://www.suss.edu.sg/programmes/detail/bachelor-of-building-and-project-management,Part-time Undergraduate,FALSE,01-Apr-25,30-Sep-25,Jan-26,,,Built Environment
BEng Aerospace Systems,,https://www.suss.edu.sg/programmes/detail/beng-aerospace-systems,Part-time Undergraduate,FALSE,01-Apr-25,30-Sep-25,Jan-26,,,Science and Technology
BEng Electronics,,https://www.suss.edu.sg/programmes/detail/beng-electronics,Part-time Undergraduate,FALSE,01-Apr-25,30-Sep-25,Jan-26,,,Science and Technology
BSc Human Factors in Safety,,https://www.suss.edu.sg/programmes/detail/bsc-human-factors-in-safety,Part-time Undergraduate,FALSE,01-Apr-25,30-Sep-25,Jan-26,,,Science and Technology
Executive Master of Business Administration,,https://www.suss.edu.sg/programmes/detail/executive-master-of-business-administration-emba,Graduate Studies,FALSE,16-Apr-25,15-Oct-25,Jan-26,,,Business Administration
Graduate Diploma in Youth Work,,https://www.suss.edu.sg/programmes/detail/graduate-diploma-in-youth-work,Graduate Studies,FALSE,16-Apr-25,15-Oct-25,Jan-26,,,Social Services
Master of Science in Data Analytics and Visualisation <chinese>中文数据分析与可视化硕士</chinese>,,https://www.suss.edu.sg/programmes/detail/master-of-science-in-data-analytics-and-visualisation-chinese,Graduate Studies,FALSE,16-Apr-25,15-Oct-25,Jan-26,,,Business Administration
Bachelor of Laws,,https://www.suss.edu.sg/programmes/detail/bachelor-of-laws-lawllb,Law Programmes,FALSE,01-Oct-25,15-Mar-26,Jul-26,,,Legal
Juris Doctor,,https://www.suss.edu.sg/programmes/detail/juris-doctor-lawjd,Law Programmes,FALSE,01-Oct-25,15-Mar-26,Jul-26,,,Legal
Bachelor of Accountancy,,https://www.suss.edu.sg/programmes/detail/ft-bachelor-of-accountancy,Full-time Undergraduate,FALSE,19-Nov-24,19-Mar-25,Jul-25,,,Business Administration
Bachelor of Arts in Chinese Studies,,https://www.suss.edu.sg/programmes/detail/Bachelor-of-Arts-in-Chinese-Studies,Full-time Undergraduate,FALSE,19-Nov-24,19-Mar-25,Jul-25,,,Linguistics and Languages
Bachelor of Early Childhood Education,,https://www.suss.edu.sg/programmes/detail/ft-bachelor-of-early-childhood-education,Full-time Undergraduate,FALSE,19-Nov-24,19-Mar-25,Jul-25,,,Adult Learning
Bachelor of Human Resource Management,,https://www.suss.edu.sg/programmes/detail/ft-bachelor-of-human-resource-management,Full-time Undergraduate,FALSE,19-Nov-24,19-Mar-25,Jul-25,,,Management
Bachelor of Public Safety and Security,,https://www.suss.edu.sg/programmes/detail/ft-bachelor-of-public-safety-and-security,Full-time Undergraduate,FALSE,19-Nov-24,19-Mar-25,Jul-25,,,Humanities and Social Sciences
Bachelor of Science in Business Analytics,,https://www.suss.edu.sg/programmes/detail/ft-bachelor-of-science-in-business-analytics,Full-time Undergraduate,FALSE,19-Nov-24,19-Mar-25,Jul-25,,,Business Administration
Bachelor of Science in Finance,,https://www.suss.edu.sg/programmes/detail/ft-bachelor-of-science-in-finance,Full-time Undergraduate,FALSE,19-Nov-24,19-Mar-25,Jul-25,,,Finance
Bachelor of Science in Information and Communication Technology,,https://www.suss.edu.sg/programmes/detail/ft-bachelor-of-science-in-information-and-communication-technology,Full-time Undergraduate,FALSE,19-Nov-24,19-Mar-25,Jul-25,,,Information Technology
Bachelor of Science in Marketing,,https://www.suss.edu.sg/programmes/detail/ft-bachelor-of-science-in-marketing,Full-time Undergraduate,FALSE,19-Nov-24,19-Mar-25,Jul-25,,,Business Administration
Bachelor of Science in Psychology,,https://www.suss.edu.sg/programmes/detail/bachelor-of-science-in-psychology,Full-time Undergraduate,FALSE,19-Nov-24,19-Mar-25,Jul-25,,,Humanities and Social Sciences
Bachelor of Science in Supply Chain Management,,https://www.suss.edu.sg/programmes/detail/ft-bachelor-of-science-in-supply-chain-management,Full-time Undergraduate,FALSE,19-Nov-24,19-Mar-25,Jul-25,,,Business Administration
Bachelor of Social Work,,https://www.suss.edu.sg/programmes/detail/ft-bachelor-of-social-work,Full-time Undergraduate,FALSE,19-Nov-24,19-Mar-25,Jul-25,,,Social Services
Graduate Diploma in Social Work,,https://www.suss.edu.sg/programmes/detail/graduate-diploma-in-social-work-gdswk,Graduate Studies,FALSE,To be confirmed,To be confirmed,To be confirmed,,,Social Services
